location_id,location_kind,line_code,bound,supply_capacity
PLAT:X:X0:EB,platform sector,X,EB,4
PLAT:X:X0:WB,platform sector,X,WB,4
PLAT:X:H1:EB,platform sector,X,EB,4
PLAT:X:H1:WB,platform sector,X,WB,4
PLAT:X:H2:EB,platform sector,X,EB,4
PLAT:X:H2:WB,platform sector,X,WB,4
PLAT:X:X3:EB,platform sector,X,EB,4
PLAT:X:X3:WB,platform sector,X,WB,4
SEC:X:X0_H1:EB,tunnel sector,X,EB,4
SEC:X:X0_H1:WB,tunnel sector,X,WB,4
SEC:X:H1_H2:EB,tunnel sector,X,EB,4
SEC:X:H1_H2:WB,tunnel sector,X,WB,4
SEC:X:H2_X3:EB,tunnel sector,X,EB,4
SEC:X:H2_X3:WB,tunnel sector,X,WB,4
PLAT:Y:Y0:EB,platform sector,Y,EB,4
PLAT:Y:Y0:WB,platform sector,Y,WB,4
PLAT:Y:H1:EB,platform sector,Y,EB,4
PLAT:Y:H1:WB,platform sector,Y,WB,4
PLAT:Y:H2:EB,platform sector,Y,EB,4
PLAT:Y:H2:WB,platform sector,Y,WB,4
PLAT:Y:Y3:EB,platform sector,Y,EB,4
PLAT:Y:Y3:WB,platform sector,Y,WB,4
SEC:Y:Y0_H1:EB,tunnel sector,Y,EB,4
SEC:Y:Y0_H1:WB,tunnel sector,Y,WB,4
SEC:Y:H1_H2:EB,tunnel sector,Y,EB,4
SEC:Y:H1_H2:WB,tunnel sector,Y,WB,4
SEC:Y:H2_Y3:EB,tunnel sector,Y,EB,4
SEC:Y:H2_Y3:WB,tunnel sector,Y,WB,4
