station_id,line_code,seq,is_interchange
D1S01,D1ALP,1,0
D1S02,D1ALP,2,0
D1S03,D1ALP,3,0
D1S04,D1ALP,4,0
D1H01,D1ALP,5,1
D1H02,D1ALP,6,1
D1S05,D1ALP,7,0
D1S06,D1ALP,8,0
D1S07,D1ALP,9,0
D1S08,D1ALP,10,0
D1S11,D1BET,1,0
D1S12,D1BET,2,0
D1S13,D1BET,3,0
D1S14,D1BET,4,0
D1H01,D1BET,5,1
D1H02,D1BET,6,1
D1S15,D1BET,7,0
D1S16,D1BET,8,0
D1S17,D1BET,9,0
D1S18,D1BET,10,0
D2S01,D2ALP,1,0
D2S02,D2ALP,2,0
D2S03,D2ALP,3,0
D2S04,D2ALP,4,0
D2H01,D2ALP,5,1
D2H02,D2ALP,6,1
D2S05,D2ALP,7,0
D2S06,D2ALP,8,0
D2S07,D2ALP,9,0
D2S08,D2ALP,10,0
D2S11,D2BET,1,0
D2S12,D2BET,2,0
D2S13,D2BET,3,0
D2S14,D2BET,4,0
D2H01,D2BET,5,1
D2H02,D2BET,6,1
D2S15,D2BET,7,0
D2S16,D2BET,8,0
D2S17,D2BET,9,0
D2S18,D2BET,10,0
