sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:D1ALP:D1S01_D1S02,D1ALP,D1S01,D1S02,1,0
SEC:D1ALP:D1S02_D1S03,D1ALP,D1S02,D1S03,2,0
SEC:D1ALP:D1S03_D1S04,D1ALP,D1S03,D1S04,3,0
SEC:D1ALP:D1S04_D1H01,D1ALP,D1S04,D1H01,4,0
SEC:D1ALP:D1H01_D1H02,D1ALP,D1H01,D1H02,5,0
SEC:D1ALP:D1H02_D1S05,D1ALP,D1H02,D1S05,6,0
SEC:D1ALP:D1S05_D1S06,D1ALP,D1S05,D1S06,7,0
SEC:D1ALP:D1S06_D1S07,D1ALP,D1S06,D1S07,8,0
SEC:D1ALP:D1S07_D1S08,D1ALP,D1S07,D1S08,9,0
SEC:D1BET:D1S11_D1S12,D1BET,D1S11,D1S12,10,0
SEC:D1BET:D1S12_D1S13,D1BET,D1S12,D1S13,11,0
SEC:D1BET:D1S13_D1S14,D1BET,D1S13,D1S14,12,0
SEC:D1BET:D1S14_D1H01,D1BET,D1S14,D1H01,13,0
SEC:D1BET:D1H01_D1H02,D1BET,D1H01,D1H02,14,0
SEC:D1BET:D1H02_D1S15,D1BET,D1H02,D1S15,15,0
SEC:D1BET:D1S15_D1S16,D1BET,D1S15,D1S16,16,0
SEC:D1BET:D1S16_D1S17,D1BET,D1S16,D1S17,17,0
SEC:D1BET:D1S17_D1S18,D1BET,D1S17,D1S18,18,0
SEC:D2ALP:D2S01_D2S02,D2ALP,D2S01,D2S02,1,0
SEC:D2ALP:D2S02_D2S03,D2ALP,D2S02,D2S03,2,0
SEC:D2ALP:D2S03_D2S04,D2ALP,D2S03,D2S04,3,0
SEC:D2ALP:D2S04_D2H01,D2ALP,D2S04,D2H01,4,0
SEC:D2ALP:D2H01_D2H02,D2ALP,D2H01,D2H02,5,0
SEC:D2ALP:D2H02_D2S05,D2ALP,D2H02,D2S05,6,0
SEC:D2ALP:D2S05_D2S06,D2ALP,D2S05,D2S06,7,0
SEC:D2ALP:D2S06_D2S07,D2ALP,D2S06,D2S07,8,0
SEC:D2ALP:D2S07_D2S08,D2ALP,D2S07,D2S08,9,0
SEC:D2BET:D2S11_D2S12,D2BET,D2S11,D2S12,10,0
SEC:D2BET:D2S12_D2S13,D2BET,D2S12,D2S13,11,0
SEC:D2BET:D2S13_D2S14,D2BET,D2S13,D2S14,12,0
SEC:D2BET:D2S14_D2H01,D2BET,D2S14,D2H01,13,0
SEC:D2BET:D2H01_D2H02,D2BET,D2H01,D2H02,14,0
SEC:D2BET:D2H02_D2S15,D2BET,D2H02,D2S15,15,0
SEC:D2BET:D2S15_D2S16,D2BET,D2S15,D2S16,16,0
SEC:D2BET:D2S16_D2S17,D2BET,D2S16,D2S17,17,0
SEC:D2BET:D2S17_D2S18,D2BET,D2S17,D2S18,18,0
