location_id,location_kind,line_code,bound,supply_capacity
SEC:D1ALP:D1S01_D1S02:EB,tunnel sector,D1ALP,EB,4
SEC:D1ALP:D1S01_D1S02:WB,tunnel sector,D1ALP,WB,4
SEC:D1ALP:D1S02_D1S03:EB,tunnel sector,D1ALP,EB,4
SEC:D1ALP:D1S02_D1S03:WB,tunnel sector,D1ALP,WB,4
SEC:D1ALP:D1S03_D1S04:EB,tunnel sector,D1ALP,EB,4
SEC:D1ALP:D1S03_D1S04:WB,tunnel sector,D1ALP,WB,4
SEC:D1ALP:D1S04_D1H01:EB,tunnel sector,D1ALP,EB,2
SEC:D1ALP:D1S04_D1H01:WB,tunnel sector,D1ALP,WB,2
SEC:D1ALP:D1H01_D1H02:EB,tunnel sector,D1ALP,EB,1
SEC:D1ALP:D1H01_D1H02:WB,tunnel sector,D1ALP,WB,1
SEC:D1ALP:D1H02_D1S05:EB,tunnel sector,D1ALP,EB,2
SEC:D1ALP:D1H02_D1S05:WB,tunnel sector,D1ALP,WB,2
SEC:D1ALP:D1S05_D1S06:EB,tunnel sector,D1ALP,EB,4
SEC:D1ALP:D1S05_D1S06:WB,tunnel sector,D1ALP,WB,4
SEC:D1ALP:D1S06_D1S07:EB,tunnel sector,D1ALP,EB,4
SEC:D1ALP:D1S06_D1S07:WB,tunnel sector,D1ALP,WB,4
SEC:D1ALP:D1S07_D1S08:EB,tunnel sector,D1ALP,EB,4
SEC:D1ALP:D1S07_D1S08:WB,tunnel sector,D1ALP,WB,4
SEC:D1BET:D1S11_D1S12:EB,tunnel sector,D1BET,EB,4
SEC:D1BET:D1S11_D1S12:WB,tunnel sector,D1BET,WB,4
SEC:D1BET:D1S12_D1S13:EB,tunnel sector,D1BET,EB,4
SEC:D1BET:D1S12_D1S13:WB,tunnel sector,D1BET,WB,4
SEC:D1BET:D1S13_D1S14:EB,tunnel sector,D1BET,EB,4
SEC:D1BET:D1S13_D1S14:WB,tunnel sector,D1BET,WB,4
SEC:D1BET:D1S14_D1H01:EB,tunnel sector,D1BET,EB,2
SEC:D1BET:D1S14_D1H01:WB,tunnel sector,D1BET,WB,2
SEC:D1BET:D1H01_D1H02:EB,tunnel sector,D1BET,EB,1
SEC:D1BET:D1H01_D1H02:WB,tunnel sector,D1BET,WB,1
SEC:D1BET:D1H02_D1S15:EB,tunnel sector,D1BET,EB,2
SEC:D1BET:D1H02_D1S15:WB,tunnel sector,D1BET,WB,2
SEC:D1BET:D1S15_D1S16:EB,tunnel sector,D1BET,EB,4
SEC:D1BET:D1S15_D1S16:WB,tunnel sector,D1BET,WB,4
SEC:D1BET:D1S16_D1S17:EB,tunnel sector,D1BET,EB,4
SEC:D1BET:D1S16_D1S17:WB,tunnel sector,D1BET,WB,4
SEC:D1BET:D1S17_D1S18:EB,tunnel sector,D1BET,EB,4
SEC:D1BET:D1S17_D1S18:WB,tunnel sector,D1BET,WB,4
PLAT:D1ALP:D1S01:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S01:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1S02:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S02:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1S03:EB,platform sector,D1ALP,EB,2
