activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A1001,C1001,Renewal,SEC:D1BET:D1S15_D1S16:EB,SEC:D1BET:D1S16_D1S17:EB,2,2027-05-24,,2
A1002,C1001,Renewal,SEC:D1BET:D1S11_D1S12:WB,SEC:D1BET:D1S12_D1S13:WB,1,2027-01-04,,3
A1003,C1001,Renewal,SEC:D1BET:D1H01_D1H02:EB,SEC:D1BET:D1S15_D1S16:EB,5,2027-03-15,,1
A1004,C1001,Renewal,SEC:D1ALP:D1S03_D1S04:EB,SEC:D1ALP:D1S04_D1H01:EB,3,2027-04-12,A1003,2
A1006,C1001,Renewal,SEC:D1ALP:D1S03_D1S04:WB,SEC:D1ALP:D1H01_D1H02:WB,2,2027-01-11,,2
A1007,C1001,Renewal,SEC:D1BET:D1H01_D1H02:EB,SEC:D1BET:D1H01_D1H02:EB,7,2027-04-12,,1
A1008,C1002,Renewal,SEC:D1BET:D1S17_D1S18:EB,SEC:D1BET:D1S17_D1S18:EB,5,2027-04-19,,1
A1009,C1002,Renewal,SEC:D1ALP:D1S05_D1S06:EB,SEC:D1ALP:D1S05_D1S06:EB,7,2027-01-11,,3
A1011,C1002,Renewal,SEC:D1BET:D1S15_D1S16:EB,SEC:D1BET:D1S16_D1S17:EB,2,2027-04-12,,2
A1012,C1002,Renewal,SEC:D1BET:D1H01_D1H02:WB,SEC:D1BET:D1H02_D1S15:WB,7,2027-01-11,,1
A1013,C1002,Renewal,SEC:D1ALP:D1S05_D1S06:WB,SEC:D1ALP:D1S05_D1S06:WB,5,2027-05-24,A1012,2
A1014,C1003,Construction,SEC:D1ALP:D1S07_D1S08:EB,SEC:D1ALP:D1S07_D1S08:EB,7,2027-03-29,,3
A1017,C1003,Construction,SEC:D1BET:D1H01_D1H02:EB,SEC:D1BET:D1S15_D1S16:EB,7,2027-04-26,,2
A1019,C1003,Construction,SEC:D1BET:D1S16_D1S17:EB,SEC:D1BET:D1S16_D1S17:EB,2,2027-03-15,,3
A1020,C1003,Construction,SEC:D1ALP:D1S04_D1H01:WB,SEC:D1ALP:D1H02_D1S05:WB,2,2027-03-29,,2
A1021,C1004,Renewal,SEC:D1BET:D1S11_D1S12:WB,SEC:D1BET:D1S12_D1S13:WB,3,2027-01-18,,2
A1023,C1004,Renewal,SEC:D1ALP:D1S03_D1S04:WB,SEC:D1ALP:D1S03_D1S04:WB,7,2027-05-24,,1
A1025,C1004,Renewal,SEC:D1ALP:D1S01_D1S02:EB,SEC:D1ALP:D1S02_D1S03:EB,7,2027-02-22,,1
A1028,C1005,Renewal,SEC:D1ALP:D1S03_D1S04:EB,SEC:D1ALP:D1S04_D1H01:EB,2,2027-03-01,,2
A1031,C1005,Renewal,SEC:D1ALP:D1S06_D1S07:WB,SEC:D1ALP:D1S07_D1S08:WB,2,2027-01-04,,3
A1035,C1006,Construction,SEC:D1ALP:D1S02_D1S03:WB,SEC:D1ALP:D1S03_D1S04:WB,3,2027-01-04,,1
A1036,C1006,Construction,SEC:D1BET:D1S14_D1H01:EB,SEC:D1BET:D1S14_D1H01:EB,7,2027-05-31,,1
A1037,C1006,Construction,SEC:D1BET:D1S15_D1S16:EB,SEC:D1BET:D1S16_D1S17:EB,2,2027-02-22,,1
A1038,C1006,Construction,SEC:D1BET:D1S17_D1S18:EB,SEC:D1BET:D1S17_D1S18:EB,3,2027-01-18,A1037,3
A1039,C1006,Construction,SEC:D1BET:D1S11_D1S12:WB,SEC:D1BET:D1S13_D1S14:WB,7,2027-02-22,,2
A1040,C1007,Renewal,SEC:D1BET:D1H01_D1H02:EB,SEC:D1BET:D1S15_D1S16:EB,7,2027-03-29,,1
A1041,C1007,Renewal,SEC:D1BET:D1S15_D1S16:EB,SEC:D1BET:D1S15_D1S16:EB,2,2027-03-15,,3
A1042,C1007,Renewal,SEC:D1BET:D1S15_D1S16:EB,SEC:D1BET:D1S17_D1S18:EB,3,2027-06-07,,2
A1043,C1007,Renewal,SEC:D1BET:D1H02_D1S15:EB,SEC:D1BET:D1S16_D1S17:EB,2,2027-03-29,,3
A1046,C1007,Renewal,SEC:D1ALP:D1S05_D1S06:WB,SEC:D1ALP:D1S05_D1S06:WB,5,2027-03-01,,3
A1047,C1008,Renewal,SEC:D1ALP:D1H02_D1S05:EB,SEC:D1ALP:D1S05_D1S06:EB,2,2027-03-29,,3
A1048,C1008,Renewal,SEC:D1BET:D1S13_D1S14:EB,SEC:D1BET:D1S13_D1S14:EB,3,2027-01-04,,3
A1049,C1008,Renewal,SEC:D1BET:D1H02_D1S15:WB,SEC:D1BET:D1S15_D1S16:WB,5,2027-02-22,A1048,2
A1050,C1008,Renewal,SEC:D1ALP:D1S03_D1S04:WB,SEC:D1ALP:D1S04_D1H01:WB,2,2027-04-26,,3
A1051,C1008,Renewal,SEC:D1BET:D1S17_D1S18:WB,SEC:D1BET:D1S17_D1S18:WB,2,2027-06-28,A1050,1
A1054,C1009,Construction,SEC:D1ALP:D1S04_D1H01:EB,SEC:D1ALP:D1H02_D1S05:EB,2,2027-04-26,,2
A1055,C1009,Construction,SEC:D1BET:D1S13_D1S14:EB,SEC:D1BET:D1H01_D1H02:EB,1,2027-04-19,,1
A1056,C1009,Construction,SEC:D1ALP:D1H02_D1S05:WB,SEC:D1ALP:D1S06_D1S07:WB,2,2027-05-03,,2
A1057,C1009,Construction,SEC:D1BET:D1H02_D1S15:EB,SEC:D1BET:D1S15_D1S16:EB,7,2027-04-12,,3
A1058,C1010,Construction,SEC:D1ALP:D1S03_D1S04:WB,SEC:D1ALP:D1H01_D1H02:WB,7,2027-01-11,,3
A1059,C1010,Construction,SEC:D1ALP:D1S06_D1S07:WB,SEC:D1ALP:D1S07_D1S08:WB,7,2027-04-05,,3
A1060,C1010,Construction,SEC:D1BET:D1H02_D1S15:EB,SEC:D1BET:D1S15_D1S16:EB,3,2027-03-29,,2
A1061,C1010,Construction,SEC:D1BET:D1H01_D1H02:EB,SEC:D1BET:D1H02_D1S15:EB,7,2027-01-25,,1
A1063,C1010,Construction,SEC:D1BET:D1S14_D1H01:EB,SEC:D1BET:D1H01_D1H02:EB,1,2027-02-01,,3
A1064,C1010,Construction,SEC:D1BET:D1S15_D1S16:WB,SEC:D1BET:D1S15_D1S16:WB,1,2027-04-19,,3
A1065,C1011,Renewal,SEC:D1BET:D1S12_D1S13:WB,SEC:D1BET:D1S12_D1S13:WB,1,2027-05-10,,2
A1066,C1011,Renewal,SEC:D1ALP:D1S02_D1S03:WB,SEC:D1ALP:D1S04_D1H01:WB,1,2027-06-21,A1065,3
A1069,C1011,Renewal,SEC:D1ALP:D1S03_D1S04:WB,SEC:D1ALP:D1H01_D1H02:WB,2,2027-03-01,,2
A1070,C1011,Renewal,SEC:D1ALP:D1S03_D1S04:WB,SEC:D1ALP:D1S04_D1H01:WB,5,2027-03-15,,1
A1071,C1011,Renewal,SEC:D1BET:D1S15_D1S16:EB,SEC:D1BET:D1S16_D1S17:EB,1,2027-04-12,,1
A1072,C1012,Construction,SEC:D1ALP:D1S04_D1H01:EB,SEC:D1ALP:D1H01_D1H02:EB,1,2027-06-07,,2
A1073,C1012,Construction,SEC:D1BET:D1H01_D1H02:EB,SEC:D1BET:D1H02_D1S15:EB,1,2027-05-31,,3
A1074,C1013,Renewal,SEC:D1ALP:D1H01_D1H02:EB,SEC:D1ALP:D1H01_D1H02:EB,1,2027-05-10,,2
A1075,C1014,Construction,SEC:D1BET:D1H01_D1H02:WB,SEC:D1BET:D1H01_D1H02:WB,1,2027-06-14,,3
A2001,C2001,Renewal,SEC:D2BET:D2S15_D2S16:EB,SEC:D2BET:D2S16_D2S17:EB,2,2027-05-24,,2
A2002,C2001,Renewal,SEC:D2BET:D2S11_D2S12:WB,SEC:D2BET:D2S12_D2S13:WB,1,2027-01-04,,3
A2003,C2001,Renewal,SEC:D2BET:D2H01_D2H02:EB,SEC:D2BET:D2S15_D2S16:EB,5,2027-03-15,,1
A2004,C2001,Renewal,SEC:D2ALP:D2S03_D2S04:EB,SEC:D2ALP:D2S04_D2H01:EB,3,2027-04-12,A2003,2
A2006,C2001,Renewal,SEC:D2ALP:D2S03_D2S04:WB,SEC:D2ALP:D2H01_D2H02:WB,2,2027-01-11,,2
A2007,C2001,Renewal,SEC:D2BET:D2H01_D2H02:EB,SEC:D2BET:D2H01_D2H02:EB,7,2027-04-12,,1
A2008,C2002,Renewal,SEC:D2BET:D2S17_D2S18:EB,SEC:D2BET:D2S17_D2S18:EB,5,2027-04-19,,1
A2009,C2002,Renewal,SEC:D2ALP:D2S05_D2S06:EB,SEC:D2ALP:D2S05_D2S06:EB,7,2027-01-11,,3
A2011,C2002,Renewal,SEC:D2BET:D2S15_D2S16:EB,SEC:D2BET:D2S16_D2S17:EB,2,2027-04-12,,2
A2012,C2002,Renewal,SEC:D2BET:D2H01_D2H02:WB,SEC:D2BET:D2H02_D2S15:WB,7,2027-01-11,,1
A2013,C2002,Renewal,SEC:D2ALP:D2S05_D2S06:WB,SEC:D2ALP:D2S05_D2S06:WB,5,2027-05-24,A2012,2
A2014,C2003,Construction,SEC:D2ALP:D2S07_D2S08:EB,SEC:D2ALP:D2S07_D2S08:EB,7,2027-03-29,,3
A2017,C2003,Construction,SEC:D2BET:D2H01_D2H02:EB,SEC:D2BET:D2S15_D2S16:EB,7,2027-04-26,,2
A2019,C2003,Construction,SEC:D2BET:D2S16_D2S17:EB,SEC:D2BET:D2S16_D2S17:EB,2,2027-03-15,,3
A2020,C2003,Construction,SEC:D2ALP:D2S04_D2H01:WB,SEC:D2ALP:D2H02_D2S05:WB,2,2027-03-29,,2
A2021,C2004,Renewal,SEC:D2BET:D2S11_D2S12:WB,SEC:D2BET:D2S12_D2S13:WB,3,2027-01-18,,2
A2023,C2004,Renewal,SEC:D2ALP:D2S03_D2S04:WB,SEC:D2ALP:D2S03_D2S04:WB,7,2027-05-24,,1
A2025,C2004,Renewal,SEC:D2ALP:D2S01_D2S02:EB,SEC:D2ALP:D2S02_D2S03:EB,7,2027-02-22,,1
A2028,C2005,Renewal,SEC:D2ALP:D2S03_D2S04:EB,SEC:D2ALP:D2S04_D2H01:EB,2,2027-03-01,,2
A2031,C2005,Renewal,SEC:D2ALP:D2S06_D2S07:WB,SEC:D2ALP:D2S07_D2S08:WB,2,2027-01-04,,3
A2035,C2006,Construction,SEC:D2ALP:D2S02_D2S03:WB,SEC:D2ALP:D2S03_D2S04:WB,3,2027-01-04,,1
A2036,C2006,Construction,SEC:D2BET:D2S14_D2H01:EB,SEC:D2BET:D2S14_D2H01:EB,7,2027-05-31,,1
A2037,C2006,Construction,SEC:D2BET:D2S15_D2S16:EB,SEC:D2BET:D2S16_D2S17:EB,2,2027-02-22,,1
A2038,C2006,Construction,SEC:D2BET:D2S17_D2S18:EB,SEC:D2BET:D2S17_D2S18:EB,3,2027-01-18,A2037,3
A2039,C2006,Construction,SEC:D2BET:D2S11_D2S12:WB,SEC:D2BET:D2S13_D2S14:WB,7,2027-02-22,,2
A2040,C2007,Renewal,SEC:D2BET:D2H01_D2H02:EB,SEC:D2BET:D2S15_D2S16:EB,7,2027-03-29,,1
A2041,C2007,Renewal,SEC:D2BET:D2S15_D2S16:EB,SEC:D2BET:D2S15_D2S16:EB,2,2027-03-15,,3
A2042,C2007,Renewal,SEC:D2BET:D2S15_D2S16:EB,SEC:D2BET:D2S17_D2S18:EB,3,2027-06-07,,2
A2043,C2007,Renewal,SEC:D2BET:D2H02_D2S15:EB,SEC:D2BET:D2S16_D2S17:EB,2,2027-03-29,,3
A2046,C2007,Renewal,SEC:D2ALP:D2S05_D2S06:WB,SEC:D2ALP:D2S05_D2S06:WB,5,2027-03-01,,3
A2047,C2008,Renewal,SEC:D2ALP:D2H02_D2S05:EB,SEC:D2ALP:D2S05_D2S06:EB,2,2027-03-29,,3
A2048,C2008,Renewal,SEC:D2BET:D2S13_D2S14:EB,SEC:D2BET:D2S13_D2S14:EB,3,2027-01-04,,3
A2049,C2008,Renewal,SEC:D2BET:D2H02_D2S15:WB,SEC:D2BET:D2S15_D2S16:WB,5,2027-02-22,A2048,2
A2050,C2008,Renewal,SEC:D2ALP:D2S03_D2S04:WB,SEC:D2ALP:D2S04_D2H01:WB,2,2027-04-26,,3
A2051,C2008,Renewal,SEC:D2BET:D2S17_D2S18:WB,SEC:D2BET:D2S17_D2S18:WB,2,2027-06-28,A2050,1
A2054,C2009,Construction,SEC:D2ALP:D2S04_D2H01:EB,SEC:D2ALP:D2H02_D2S05:EB,2,2027-04-26,,2
A2055,C2009,Construction,SEC:D2BET:D2S13_D2S14:EB,SEC:D2BET:D2H01_D2H02:EB,1,2027-04-19,,1
A2056,C2009,Construction,SEC:D2ALP:D2H02_D2S05:WB,SEC:D2ALP:D2S06_D2S07:WB,2,2027-05-03,,2
A2057,C2009,Construction,SEC:D2BET:D2H02_D2S15:EB,SEC:D2BET:D2S15_D2S16:EB,7,2027-04-12,,3
A2058,C2010,Construction,SEC:D2ALP:D2S03_D2S04:WB,SEC:D2ALP:D2H01_D2H02:WB,7,2027-01-11,,3
A2059,C2010,Construction,SEC:D2ALP:D2S06_D2S07:WB,SEC:D2ALP:D2S07_D2S08:WB,7,2027-04-05,,3
A2060,C2010,Construction,SEC:D2BET:D2H02_D2S15:EB,SEC:D2BET:D2S15_D2S16:EB,3,2027-03-29,,2
A2061,C2010,Construction,SEC:D2BET:D2H01_D2H02:EB,SEC:D2BET:D2H02_D2S15:EB,7,2027-01-25,,1
A2063,C2010,Construction,SEC:D2BET:D2S14_D2H01:EB,SEC:D2BET:D2H01_D2H02:EB,1,2027-02-01,,3
A2064,C2010,Construction,SEC:D2BET:D2S15_D2S16:WB,SEC:D2BET:D2S15_D2S16:WB,1,2027-04-19,,3
A2065,C2011,Renewal,SEC:D2BET:D2S12_D2S13:WB,SEC:D2BET:D2S12_D2S13:WB,1,2027-05-10,,2
A2066,C2011,Renewal,SEC:D2ALP:D2S02_D2S03:WB,SEC:D2ALP:D2S04_D2H01:WB,1,2027-06-21,A2065,3
A2069,C2011,Renewal,SEC:D2ALP:D2S03_D2S04:WB,SEC:D2ALP:D2H01_D2H02:WB,2,2027-03-01,,2
A2070,C2011,Renewal,SEC:D2ALP:D2S03_D2S04:WB,SEC:D2ALP:D2S04_D2H01:WB,5,2027-03-15,,1
A2071,C2011,Renewal,SEC:D2BET:D2S15_D2S16:EB,SEC:D2BET:D2S16_D2S17:EB,1,2027-04-12,,1
A2072,C2012,Construction,SEC:D2ALP:D2S04_D2H01:EB,SEC:D2ALP:D2H01_D2H02:EB,1,2027-06-07,,2
A2073,C2012,Construction,SEC:D2BET:D2H01_D2H02:EB,SEC:D2BET:D2H02_D2S15:EB,1,2027-05-31,,3
A2074,C2013,Renewal,SEC:D2ALP:D2H01_D2H02:EB,SEC:D2ALP:D2H01_D2H02:EB,1,2027-05-10,,2
A2075,C2014,Construction,SEC:D2BET:D2H01_D2H02:WB,SEC:D2BET:D2H01_D2H02:WB,1,2027-06-14,,3
