scenario,contract_number,simulated_completion_date,overrun_days
C,C1001,2027-06-06,0
C,C1002,2027-06-27,0
C,C1003,2027-06-13,0
C,C1004,2027-07-11,0
C,C1005,2027-03-14,0
C,C1006,2027-07-18,14
C,C1007,2027-06-27,0
C,C1008,2027-07-11,0
C,C1009,2027-06-06,0
C,C1010,2027-05-23,7
C,C1011,2027-06-27,0
C,C1012,2027-06-13,0
C,C1013,2027-05-16,0
C,C1014,2027-06-20,0
C,C2001,2027-06-06,0
C,C2002,2027-06-27,0
C,C2003,2027-06-13,0
C,C2004,2027-07-11,0
C,C2005,2027-03-14,0
C,C2006,2027-07-18,14
C,C2007,2027-06-27,0
C,C2008,2027-07-11,0
C,C2009,2027-06-06,0
C,C2010,2027-05-23,7
C,C2011,2027-06-27,0
C,C2012,2027-06-13,0
C,C2013,2027-05-16,0
C,C2014,2027-06-20,0
