activity_id,week,location_id,co_share_group
A1001,21,PLAT:D1BET:D1S15:EB,p1
A1001,21,PLAT:D1BET:D1S16:EB,p1
A1001,21,PLAT:D1BET:D1S17:EB,p1
A1001,21,SEC:D1BET:D1S15_D1S16:EB,p1
A1001,21,SEC:D1BET:D1S16_D1S17:EB,p1
A1001,22,PLAT:D1BET:D1S15:EB,p6
A1001,22,PLAT:D1BET:D1S16:EB,p6
A1001,22,PLAT:D1BET:D1S17:EB,p6
A1001,22,SEC:D1BET:D1S15_D1S16:EB,p6
A1001,22,SEC:D1BET:D1S16_D1S17:EB,p6
A1002,1,PLAT:D1BET:D1S11:WB,p7
A1002,1,PLAT:D1BET:D1S12:WB,p7
A1002,1,PLAT:D1BET:D1S13:WB,p7
A1002,1,SEC:D1BET:D1S11_D1S12:WB,p7
A1002,1,SEC:D1BET:D1S12_D1S13:WB,p7
A1003,11,PLAT:D1BET:D1H01:EB,p2
A1003,11,PLAT:D1BET:D1H02:EB,p2
A1003,11,PLAT:D1BET:D1S15:EB,p2
A1003,11,PLAT:D1BET:D1S16:EB,p2
A1003,11,SEC:D1BET:D1H01_D1H02:EB,p2
A1003,11,SEC:D1BET:D1H02_D1S15:EB,p2
A1003,11,SEC:D1BET:D1S15_D1S16:EB,p2
A1003,12,PLAT:D1BET:D1H01:EB,p2
A1003,12,PLAT:D1BET:D1H02:EB,p2
A1003,12,PLAT:D1BET:D1S15:EB,p2
A1003,12,PLAT:D1BET:D1S16:EB,p2
A1003,12,SEC:D1BET:D1H01_D1H02:EB,p2
A1003,12,SEC:D1BET:D1H02_D1S15:EB,p2
A1003,12,SEC:D1BET:D1S15_D1S16:EB,p2
A1003,13,PLAT:D1BET:D1H01:EB,p2
A1003,13,PLAT:D1BET:D1H02:EB,p2
A1003,13,PLAT:D1BET:D1S15:EB,p2
A1003,13,PLAT:D1BET:D1S16:EB,p2
A1003,13,SEC:D1BET:D1H01_D1H02:EB,p2
A1003,13,SEC:D1BET:D1H02_D1S15:EB,p2
A1003,13,SEC:D1BET:D1S15_D1S16:EB,p2
A1003,14,PLAT:D1BET:D1H01:EB,p7
A1003,14,PLAT:D1BET:D1H02:EB,p7
A1003,14,PLAT:D1BET:D1S15:EB,p7
A1003,14,PLAT:D1BET:D1S16:EB,p7
A1003,14,SEC:D1BET:D1H01_D1H02:EB,p7
A1003,14,SEC:D1BET:D1H02_D1S15:EB,p7
A1003,14,SEC:D1BET:D1S15_D1S16:EB,p7
A1003,15,PLAT:D1BET:D1H01:EB,p7
A1003,15,PLAT:D1BET:D1H02:EB,p7
A1003,15,PLAT:D1BET:D1S15:EB,p7
A1003,15,PLAT:D1BET:D1S16:EB,p7
A1003,15,SEC:D1BET:D1H01_D1H02:EB,p7
A1003,15,SEC:D1BET:D1H02_D1S15:EB,p7
A1003,15,SEC:D1BET:D1S15_D1S16:EB,p7
