scenario,contract_number,simulated_completion_date,overrun_days
A,C1001,2027-06-06,0
A,C1002,2027-06-27,0
A,C1003,2027-06-13,0
A,C1004,2027-07-11,0
A,C1005,2027-03-14,0
A,C1006,2027-07-18,14
A,C1007,2027-06-27,0
A,C1008,2027-07-11,0
A,C1009,2027-06-06,0
A,C1010,2027-05-23,7
A,C1011,2027-06-27,0
A,C1012,2027-06-13,0
A,C1013,2027-05-16,0
A,C1014,2027-06-20,0
A,C2001,2027-06-06,0
A,C2002,2027-06-27,0
A,C2003,2027-06-13,0
A,C2004,2027-07-11,0
A,C2005,2027-03-14,0
A,C2006,2027-07-18,14
A,C2007,2027-06-27,0
A,C2008,2027-07-11,0
A,C2009,2027-06-06,0
A,C2010,2027-05-23,7
A,C2011,2027-06-27,0
A,C2012,2027-06-13,0
A,C2013,2027-05-16,0
A,C2014,2027-06-20,0
