activity_id,access_seq,week,eclo,access_night
A1001,1,21,0,2
A1001,2,22,0,1
A1002,1,1,0,1
A1003,1,11,0,1
A1003,2,12,0,1
A1003,3,13,0,1
A1003,4,14,0,1
A1003,5,15,0,1
A1004,1,16,0,2
A1004,2,17,0,1
A1004,3,18,0,2
A1006,1,2,0,1
A1006,2,3,0,1
A1007,1,15,0,1
A1007,2,16,0,1
A1007,3,17,0,2
A1007,4,18,0,1
A1007,5,19,0,1
A1007,6,20,0,1
A1007,7,21,0,1
A1008,1,16,0,1
A1008,2,17,0,1
A1008,3,18,0,1
A1008,4,19,0,1
A1008,5,20,0,1
A1009,1,2,0,2
A1009,2,3,0,1
A1009,3,4,0,2
A1009,4,5,0,1
A1009,5,6,0,2
A1009,6,7,0,1
A1009,7,8,0,1
A1011,1,15,0,1
A1011,2,16,0,2
A1012,1,2,0,1
A1012,2,3,0,2
A1012,3,4,0,1
A1012,4,5,0,2
A1012,5,6,0,1
A1012,6,7,0,2
A1012,7,8,0,2
A1013,1,21,0,1
A1013,2,22,0,1
A1013,3,23,0,1
A1013,4,24,0,1
A1013,5,25,0,1
A1014,1,13,0,2
A1014,2,14,0,1
A1014,3,15,0,1
A1014,4,16,0,1
A1014,5,17,0,1
A1014,6,18,0,2
A1014,7,19,0,1
A1017,1,17,0,2
A1017,2,18,0,1
A1017,3,19,0,2
A1017,4,20,0,1
A1017,5,21,0,1
A1017,6,22,0,1
A1017,7,23,0,1
A1019,1,11,0,1
A1019,2,12,0,1
A1020,1,13,0,1
A1020,2,14,0,2
A1021,1,3,0,1
A1021,2,4,0,1
A1021,3,5,0,1
A1023,1,21,0,1
A1023,2,22,0,1
A1023,3,23,0,1
A1023,4,24,0,1
A1023,5,25,0,1
A1023,6,26,0,1
A1023,7,27,0,1
A1025,1,8,0,1
A1025,2,9,0,1
A1025,3,10,0,1
A1025,4,11,0,1
A1025,5,12,0,1
A1025,6,13,0,1
A1025,7,14,0,1
A1028,1,9,0,1
A1028,2,10,0,1
A1031,1,1,0,1
A1031,2,2,0,1
A1035,1,1,0,1
A1035,2,2,0,1
A1035,3,3,0,1
A1036,1,22,0,1
A1036,2,23,0,1
A1036,3,24,0,1
A1036,4,25,0,1
A1036,5,26,0,1
A1036,6,27,0,1
A1036,7,28,0,1
A1037,1,8,0,1
A1037,2,9,0,1
A1038,1,10,0,2
A1038,2,11,0,2
A1038,3,12,0,2
A1039,1,8,0,2
A1039,2,9,0,2
A1039,3,10,0,1
A1039,4,11,0,1
A1039,5,12,0,1
A1039,6,13,0,1
A1039,7,14,0,1
A1040,1,15,0,1
A1040,2,16,0,1
A1040,3,17,0,1
A1040,4,18,0,1
A1040,5,19,0,1
A1040,6,20,0,1
A1040,7,21,0,1
A1041,1,11,0,2
A1041,2,12,0,1
A1042,1,23,0,1
A1042,2,24,0,1
A1042,3,25,0,1
A1043,1,13,0,2
A1043,2,14,0,1
A1046,1,9,0,1
A1046,2,10,0,1
A1046,3,11,0,1
A1046,4,12,0,2
A1046,5,13,0,1
A1047,1,13,0,1
A1047,2,14,0,1
A1048,1,1,0,1
A1048,2,2,0,1
A1048,3,3,0,1
A1049,1,8,0,1
A1049,2,9,0,1
A1049,3,10,0,1
A1049,4,11,0,1
A1049,5,12,0,1
A1050,1,17,0,1
A1050,2,18,0,1
A1051,1,26,0,1
A1051,2,27,0,1
A1054,1,17,0,1
A1054,2,18,0,2
A1055,1,16,0,1
A1056,1,18,0,3
A1056,2,19,0,1
A1057,1,15,0,1
A1057,2,17,0,2
A1057,3,18,0,1
A1057,4,19,0,2
A1057,5,20,0,1
A1057,6,21,0,1
A1057,7,22,0,1
A1058,1,2,0,1
A1058,2,3,0,1
A1058,3,4,0,1
A1058,4,5,0,2
A1058,5,6,0,1
A1058,6,7,0,1
A1058,7,8,0,2
A1059,1,14,0,1
A1059,2,15,0,1
A1059,3,16,0,1
A1059,4,17,0,1
A1059,5,18,0,1
A1059,6,19,0,1
A1059,7,20,0,1
A1060,1,13,0,1
A1060,2,14,0,2
A1060,3,16,0,1
A1061,1,4,0,1
A1061,2,5,0,1
A1061,3,6,0,1
A1061,4,7,0,2
A1061,5,8,0,1
A1061,6,9,0,1
A1061,7,10,0,1
A1063,1,5,0,1
A1064,1,16,0,2
A1065,1,19,0,1
A1066,1,25,0,1
A1069,1,9,0,1
A1069,2,10,0,1
A1070,1,11,0,1
A1070,2,12,0,1
A1070,3,13,0,1
A1070,4,14,0,1
A1070,5,15,0,1
A1071,1,15,0,2
A1072,1,23,0,1
A1073,1,22,0,1
A1074,1,19,0,1
A1075,1,24,0,1
A2001,1,21,0,2
A2001,2,22,0,1
A2002,1,1,0,1
A2003,1,11,0,1
A2003,2,12,0,1
A2003,3,13,0,1
A2003,4,14,0,1
A2003,5,15,0,1
A2004,1,16,0,1
A2004,2,17,0,1
A2004,3,18,0,2
A2006,1,2,0,1
A2006,2,3,0,1
A2007,1,15,0,1
A2007,2,16,0,1
A2007,3,17,0,2
A2007,4,18,0,1
A2007,5,19,0,1
A2007,6,20,0,1
A2007,7,21,0,1
A2008,1,16,0,1
A2008,2,17,0,1
A2008,3,18,0,1
A2008,4,19,0,1
A2008,5,20,0,1
A2009,1,2,0,2
A2009,2,3,0,1
A2009,3,4,0,1
A2009,4,5,0,1
A2009,5,6,0,1
A2009,6,7,0,1
A2009,7,8,0,1
A2011,1,15,0,1
A2011,2,16,0,2
A2012,1,2,0,1
A2012,2,3,0,2
A2012,3,4,0,2
A2012,4,5,0,2
A2012,5,6,0,2
A2012,6,7,0,2
A2012,7,8,0,2
A2013,1,21,0,1
A2013,2,22,0,1
A2013,3,23,0,1
A2013,4,24,0,1
A2013,5,25,0,1
A2014,1,13,0,1
A2014,2,14,0,1
A2014,3,15,0,1
A2014,4,16,0,1
A2014,5,17,0,1
A2014,6,18,0,1
A2014,7,19,0,2
A2017,1,17,0,2
A2017,2,18,0,2
A2017,3,19,0,1
A2017,4,20,0,1
A2017,5,21,0,1
A2017,6,22,0,1
