scenario,contract_number,simulated_completion_date,overrun_days
B,C1001,2027-06-06,0
B,C1002,2027-06-27,0
B,C1003,2027-06-13,0
B,C1004,2027-07-11,0
B,C1005,2027-03-14,0
B,C1006,2027-07-04,0
B,C1007,2027-06-27,0
B,C1008,2027-07-11,0
B,C1009,2027-06-06,0
B,C1010,2027-05-16,0
B,C1011,2027-06-27,0
B,C1012,2027-06-13,0
B,C1013,2027-05-16,0
B,C1014,2027-06-20,0
B,C2001,2027-06-06,0
B,C2002,2027-06-27,0
B,C2003,2027-06-13,0
B,C2004,2027-07-11,0
B,C2005,2027-03-14,0
B,C2006,2027-07-04,0
B,C2007,2027-06-27,0
B,C2008,2027-07-11,0
B,C2009,2027-06-06,0
B,C2010,2027-05-16,0
B,C2011,2027-06-27,0
B,C2012,2027-06-13,0
B,C2013,2027-05-16,0
B,C2014,2027-06-20,0
